Name,Address,Rating,Total Reviews,Phone,Website,Opening Hours,Price Level,Types,Latitude,Longitude
Jolene's - Ewa Beach,"91-1087 Keaunui Dr Ste 400, Ewa Beach, HI 96706, USA",4.5,213,+1 808-683-1000,http://joleneshawaii.com/,"Monday: 10:00 AM – 7:45 PM, Tuesday: 10:00 AM – 7:45 PM, Wednesday: 10:00 AM – 7:45 PM, Thursday: 10:00 AM – 7:45 PM, Friday: 10:00 AM – 7:45 PM, Saturday: 10:00 AM – 7:45 PM, Sunday: 10:00 AM – 7:45 PM",PRICE_LEVEL_MODERATE,"american_restaurant, restaurant, point_of_interest, food, establishment",21.3265816,-158.0210639
D'lish at the beach,"5440 Edgewater Dr, Ewa Beach, HI 96706, USA",4.6,206,+1 808-371-2384,https://www.facebook.com/Dlishatthebeachkapilina/,"Monday: Closed, Tuesday: 4:30 – 7:30 PM, Wednesday: 4:30 – 7:30 PM, Thursday: 4:30 – 7:30 PM, Friday: 4:30 – 9:00 PM, Saturday: 8:00 AM – 9:00 PM, Sunday: 8:00 AM – 3:00 PM",PRICE_LEVEL_MODERATE,"restaurant, point_of_interest, food, establishment",21.3181704,-157.97650339999998
Moodys ohana,"5931 Gannet Ave, Ewa Beach, HI 96706, USA",5,1,+1 808-631-1798,https://moodysohana.com/,,,"american_restaurant, restaurant, point_of_interest, food, establishment",21.3223536,-157.97623289999999
Kountry Style Kitchen Restaurant Ewa Beach,"91-1001 Kaimalie St, Ewa Beach, HI 96706, USA",4.5,503,+1 808-689-9000,http://kountrystylekitchenewa.com/,"Monday: 7:00 AM – 1:00 PM, Tuesday: Closed, Wednesday: Closed, Thursday: 7:00 AM – 1:00 PM, Friday: 7:00 AM – 1:00 PM, Saturday: 7:00 AM – 1:00 PM, Sunday: 7:00 AM – 1:00 PM",PRICE_LEVEL_MODERATE,"restaurant, point_of_interest, food, establishment",21.3191836,-158.0149928
Restaurant Tombo,"91-050 Fort Weaver Rd, Ewa Beach, HI 96706, USA",4.3,9,+1 808-689-6565,,"Monday: 11:00 AM – 6:00 PM, Tuesday: 11:00 AM – 6:00 PM, Wednesday: 11:00 AM – 6:00 PM, Thursday: 11:00 AM – 6:00 PM, Friday: 11:00 AM – 6:00 PM, Saturday: 10:00 AM – 6:00 PM, Sunday: 10:00 AM – 6:00 PM",,"restaurant, point_of_interest, food, establishment",21.316245199999997,-157.9922246
The LookOut Food & Drink,"91-1621 Keone'ula Blvd, Ewa Beach, HI 96706, USA",3.4,82,+1 808-900-3579,https://waikai.com/,"Monday: 2:00 – 9:00 PM, Tuesday: 4:00 – 9:00 PM, Wednesday: 4:00 – 9:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 7:00 AM – 9:00 PM",,"restaurant, point_of_interest, food, establishment",21.308682299999997,-158.0408272
Loco Moco Drive Inn Ewa Beach,"91-919 Fort Weaver Rd, Ocean Pointe, HI 96706, USA",4.3,177,+1 808-689-8321,https://www.clover.com/online-ordering/loco-moco-drive-inn-ewa-beach,"Monday: 8:00 AM – 9:00 PM, Tuesday: 8:00 AM – 9:00 PM, Wednesday: 8:00 AM – 9:00 PM, Thursday: 8:00 AM – 9:00 PM, Friday: 8:00 AM – 9:00 PM, Saturday: 7:00 AM – 9:00 PM, Sunday: 7:00 AM – 9:00 PM",PRICE_LEVEL_INEXPENSIVE,"american_restaurant, restaurant, point_of_interest, food, establishment",21.3163776,-158.0138397
PLAZA GRILL,"Ewa Beach, HI 96706, USA",5,2,,,,,"restaurant, point_of_interest, food, establishment",21.3083019,-158.04034629999998
Wingman,"Iroquois and, North Rd, Ewa Beach, HI 96706, USA",4.2,5,+1 808-452-7886,http://wingman6.net/,"Monday: Closed, Tuesday: 4:00 – 10:00 PM, Wednesday: 6:00 – 10:00 PM, Thursday: 6:00 – 9:00 PM, Friday: 4:00 – 11:30 PM, Saturday: Closed, Sunday: 10:00 AM – 1:00 PM",,"restaurant, point_of_interest, food, establishment",21.3252509,-157.9853766
Lucky Box Ewa Beach,"91-1001 Kaimalie St, Ewa Beach, HI 96706, USA",5,6,+1 808-260-4167,,"Monday: 10:00 AM – 9:00 PM, Tuesday: 10:00 AM – 9:00 PM, Wednesday: 10:00 AM – 9:00 PM, Thursday: 10:00 AM – 9:00 PM, Friday: 10:00 AM – 9:00 PM, Saturday: 10:00 AM – 9:00 PM, Sunday: Closed",PRICE_LEVEL_MODERATE,"fast_food_restaurant, restaurant, point_of_interest, food, establishment",21.318870999999998,-158.0156614
Frida's Hawaii,"91-1001 Kaimalie St #105, Ewa Beach, HI 96706, USA",4.5,208,+1 808-200-1813,https://fridas-hawaii.com/,"Monday: 11:00 AM – 7:30 PM, Tuesday: 11:00 AM – 8:00 PM, Wednesday: 11:00 AM – 8:00 PM, Thursday: 11:00 AM – 8:00 PM, Friday: 11:00 AM – 8:30 PM, Saturday: 11:00 AM – 8:30 PM, Sunday: 11:00 AM – 7:00 PM",PRICE_LEVEL_MODERATE,"mexican_restaurant, meal_takeaway, restaurant, point_of_interest, food, establishment",21.318946399999998,-158.01561189999998
Rakki ramen,"91-1121 Keaunui Dr #104, Ewa Beach, HI 96706, USA",4.4,23,+1 808-517-3144,,"Monday: 10:00 AM – 9:30 PM, Tuesday: 10:00 AM – 9:30 PM, Wednesday: 10:00 AM – 9:30 PM, Thursday: 10:00 AM – 9:30 PM, Friday: 10:00 AM – 9:30 PM, Saturday: 10:00 AM – 9:30 PM, Sunday: 10:00 AM – 9:30 PM",PRICE_LEVEL_INEXPENSIVE,"japanese_restaurant, restaurant, point_of_interest, food, establishment",21.3281612,-158.0210165
Bann Thai,"91-1001 Kaimalie St #111a, Ewa Beach, HI 96706, USA",4.5,38,+1 808-689-6790,https://bannthaihawaii.com/,"Monday: 11:00 AM – 9:00 PM, Tuesday: 11:00 AM – 9:00 PM, Wednesday: 11:00 AM – 9:00 PM, Thursday: 11:00 AM – 9:00 PM, Friday: 11:00 AM – 9:00 PM, Saturday: 11:00 AM – 9:00 PM, Sunday: 11:00 AM – 9:00 PM",PRICE_LEVEL_MODERATE,"thai_restaurant, restaurant, point_of_interest, food, establishment",21.3188921,-158.01578759999998
60Fore Bar & Grill,"Barbers Point Golf Course, 2249 Essex Rd, Kapolei, HI 96707, USA",4.4,262,+1 808-800-2153,https://www.60fore.com/,"Monday: 9:00 AM – 9:00 PM, Tuesday: 9:00 AM – 9:00 PM, Wednesday: 9:00 AM – 9:00 PM, Thursday: 9:00 AM – 9:00 PM, Friday: 9:00 AM – 11:00 PM, Saturday: 9:00 AM – 11:00 PM, Sunday: 9:00 AM – 9:00 PM",PRICE_LEVEL_MODERATE,"asian_restaurant, american_restaurant, restaurant, point_of_interest, food, establishment",21.3247574,-158.0389246
Elim Korean Barbeque,"91-919 Fort Weaver Rd # 102A, Ewa Beach, HI 96706, USA",4.4,86,+1 808-689-4828,,"Monday: 10:00 AM – 9:00 PM, Tuesday: 10:00 AM – 9:00 PM, Wednesday: 10:00 AM – 9:00 PM, Thursday: 10:00 AM – 9:00 PM, Friday: 10:00 AM – 9:00 PM, Saturday: 10:00 AM – 9:00 PM, Sunday: 10:00 AM – 9:00 PM",,"korean_restaurant, restaurant, point_of_interest, food, establishment",21.3163789,-158.01370269999998
Shiro's Saimin Haven,"91-919 Fort Weaver Rd, Ewa Beach, HI 96706, USA",4.3,395,+1 808-689-0999,https://shiros-saimin.com/,"Monday: 7:30 AM – 8:30 PM, Tuesday: 7:30 AM – 8:30 PM, Wednesday: 7:30 AM – 8:30 PM, Thursday: 7:30 AM – 8:30 PM, Friday: 7:30 AM – 8:30 PM, Saturday: 7:30 AM – 8:30 PM, Sunday: 7:30 AM – 8:30 PM",PRICE_LEVEL_INEXPENSIVE,"american_restaurant, restaurant, point_of_interest, food, establishment",21.3162214,-158.0137594
Spoon Bunsik,"91-775 Papipi Rd #B, Ewa Beach, HI 96706, USA",4.6,264,+1 808-689-6646,https://spoonkoreankitchen.com/,"Monday: 11:00 AM – 8:00 PM, Tuesday: 11:00 AM – 8:00 PM, Wednesday: 11:00 AM – 8:00 PM, Thursday: 11:00 AM – 8:00 PM, Friday: 11:00 AM – 8:00 PM, Saturday: 11:00 AM – 8:00 PM, Sunday: Closed",PRICE_LEVEL_MODERATE,"korean_restaurant, restaurant, point_of_interest, food, establishment",21.3157849,-158.013171
Bird of Paradise Restaurant,"Keaunui Dr, Ewa Beach, HI 96706, USA",4.2,118,+1 808-952-4784,https://www.hawaiiprincegolf.com/bird-of-paradise/,"Monday: 11:00 AM – 3:00 PM, Tuesday: 11:00 AM – 3:00 PM, Wednesday: 11:00 AM – 3:00 PM, Thursday: 11:00 AM – 3:00 PM, Friday: 11:00 AM – 3:00 PM, Saturday: 5:00 – 10:00 PM, Sunday: 11:00 AM – 5:00 PM",PRICE_LEVEL_MODERATE,"buffet_restaurant, restaurant, point_of_interest, food, establishment",21.328300199999997,-158.00897730000003
Ono Thai,"91-896 Makule Rd Ste 106, Ewa Beach, HI 96706, USA",4.6,332,+1 808-689-5808,http://onothaicuisine.com/,"Monday: 10:30 AM – 9:00 PM, Tuesday: 10:30 AM – 9:00 PM, Wednesday: 10:30 AM – 9:00 PM, Thursday: 10:30 AM – 9:00 PM, Friday: 10:30 AM – 9:00 PM, Saturday: 10:30 AM – 9:00 PM, Sunday: 10:30 AM – 9:00 PM",PRICE_LEVEL_MODERATE,"thai_restaurant, restaurant, point_of_interest, food, establishment",21.3155194,-158.0129861
Ohana Drive Inn,"91-896 Makule Rd #101, Ewa Beach, HI 96706, USA",4.4,100,+1 808-689-8808,http://ohanadriveinn.weebly.com/,"Monday: 8:00 AM – 8:00 PM, Tuesday: 8:00 AM – 8:00 PM, Wednesday: 8:00 AM – 8:00 PM, Thursday: 8:00 AM – 8:00 PM, Friday: 8:00 AM – 8:00 PM, Saturday: 8:00 AM – 8:00 PM, Sunday: 8:00 AM – 7:00 PM",PRICE_LEVEL_INEXPENSIVE,"catering_service, food_delivery, restaurant, point_of_interest, food, establishment",21.3155115,-158.01290229999998
Pillar To Post Home Inspectors - Doug Sward Team,"9 Manker Dr, Florham Park, NJ 07932, USA",5,417,+1 973-224-7452,https://morris.pillartopost.com/,"Monday: 9:00 AM – 5:00 PM, Tuesday: 9:00 AM – 5:00 PM, Wednesday: 9:00 AM – 5:00 PM, Thursday: 9:00 AM – 5:00 PM, Friday: 9:00 AM – 5:00 PM, Saturday: 9:00 AM – 5:00 PM, Sunday: Closed",,"point_of_interest, establishment",40.770696799999996,-74.40288720000001
Cornerstone Home Inspections,"62 Mountain Ave, Warren, NJ 07059, USA",4.9,176,+1 973-650-4151,http://www.cornerstonehomeinspections.net/,"Monday: 9:00 AM – 7:00 PM, Tuesday: 9:00 AM – 7:00 PM, Wednesday: 9:00 AM – 7:00 PM, Thursday: 9:00 AM – 7:00 PM, Friday: 9:00 AM – 7:00 PM, Saturday: 9:00 AM – 7:00 PM, Sunday: 9:00 AM – 7:00 PM",,"point_of_interest, establishment",40.658994799999995,-74.466763
Blair Inspection Services LLC,"75 Main St STE 201, Millburn, NJ 07041, USA",5,72,+1 973-464-7763,http://blairinspectionsnj.com/,"Monday: 6:00 AM – 10:00 PM, Tuesday: 6:00 AM – 10:00 PM, Wednesday: 6:00 AM – 10:00 PM, Thursday: 6:00 AM – 10:00 PM, Friday: 6:00 AM – 10:00 PM, Saturday: 6:00 AM – 10:00 PM, Sunday: 6:00 AM – 10:00 PM",,"point_of_interest, establishment",40.7229898,-74.3073568
